sent_packets,tracked_txs,header_drop_packets,decoded_bytes,decoded_hrd_pld,decoded_hdr,decodable_pld,collided_hdr_pld,tp,fp,fn,time
10.0,10.0,0.0,200.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25335582600765,11.0,0.0,220.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.663801734674035,12.0,0.0,240.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.251026703029977,14.0,0.0,280.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0371874375133,16.0,0.0,320.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.047217668271703,18.0,0.0,360.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.309176209047358,20.0,0.0,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.854638641349908,22.0,0.0,440.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.719138090593443,25.0,0.0,500.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.942661247167504,28.0,0.0,560.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.57020655659783,32.0,0.0,640.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.65241237079628,36.0,0.0,680.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,4.129829168319702
41.24626382901352,41.0,0.0,780.0,39.0,0.0,0.0,2.0,0.0,0.0,2.0,4.123680114746094
46.41588833612777,46.0,0.0,860.0,43.0,1.0,0.0,2.0,0.0,0.0,2.0,4.129241943359375
52.23345074266843,52.0,0.0,1000.0,50.0,0.0,2.0,0.0,0.0,0.0,2.0,4.202345371246338
58.780160722749116,58.0,0.0,1120.0,56.0,0.0,2.0,0.0,0.0,0.0,2.0,4.167681455612183
66.14740641230149,66.0,0.0,1160.0,58.0,2.0,6.0,0.0,0.0,0.0,6.0,4.062408924102783
74.43803013251689,74.0,0.0,1380.0,69.0,0.0,5.0,0.0,0.0,0.0,6.0,4.123710870742798
83.76776400682915,83.0,0.0,1480.0,74.0,2.0,7.0,0.0,0.0,0.0,7.0,4.100896596908569
94.26684551178855,94.0,0.0,1700.0,85.0,5.0,3.0,1.0,0.0,0.0,4.0,4.112701654434204
106.08183551394482,100.0,0.0,1440.0,72.0,13.0,13.0,2.0,0.0,0.0,21.0,4.107648611068726
119.37766417144357,100.0,0.0,1280.0,64.0,14.0,16.0,6.0,0.0,0.0,41.0,4.106549263000488
134.33993325989002,100.0,0.0,1300.0,65.0,14.0,18.0,3.0,0.0,0.0,54.0,4.051044464111328
151.1775070615663,100.0,0.0,900.0,45.0,33.0,12.0,10.0,0.0,0.0,70.0,4.141287565231323
170.1254279852589,100.0,0.0,960.0,48.0,22.0,14.0,16.0,0.0,0.0,100.0,4.12218451499939
191.44819761699577,100.0,0.0,720.0,36.0,24.0,19.0,21.0,0.0,0.0,130.0,4.093178033828735
215.44346900318823,100.0,0.0,420.0,21.0,26.0,23.0,30.0,0.0,0.0,167.0,4.156628131866455
242.44620170823282,100.0,0.0,300.0,15.0,39.0,11.0,35.0,0.0,0.0,189.0,4.068538188934326
272.83333764867695,100.0,0.0,200.0,10.0,43.0,4.0,43.0,0.0,0.0,220.0,4.096237897872925
307.029062975785,100.0,0.0,60.0,3.0,41.0,9.0,47.0,0.0,0.0,263.0,4.128066301345825
345.5107294592218,100.0,0.0,40.0,2.0,36.0,3.0,59.0,0.0,0.0,305.0,4.122303009033203
388.81551803080856,100.0,0.0,0.0,0.0,34.0,0.0,66.0,0.0,0.0,353.0,4.048168659210205
437.54793750741845,100.0,0.0,0.0,0.0,19.0,2.0,79.0,0.0,0.0,417.0,4.086718320846558
492.3882631706742,100.0,0.0,0.0,0.0,26.0,1.0,73.0,0.0,0.0,467.0,4.0682830810546875
554.1020330009492,100.0,0.0,0.0,0.0,11.0,0.0,89.0,0.0,0.0,542.0,4.080721378326416
623.5507341273913,100.0,0.0,0.0,0.0,12.0,0.0,88.0,0.0,0.0,612.0,4.211545467376709
701.7038286703822,100.0,0.0,0.0,0.0,9.0,0.0,91.0,0.0,0.0,692.0,4.167203664779663
789.6522868499725,100.0,0.0,0.0,0.0,8.0,0.0,92.0,0.0,0.0,783.0,4.133667945861816
888.6238162743407,100.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,886.0,4.140848875045776
1000.0,100.0,0.0,0.0,0.0,3.0,0.0,97.0,0.0,0.0,997.0,4.03920316696167
